ID	premise_en	hypothesis_en	gold	content-type	inference-pattern	modal
44	It is not mandatory to codswallop.	It is acceptable not to codswallop.	entailment	nonsense	NotMu-MiNot	deontic
45	It is not the case that you must malarkey.	You can choose not to malarkey.	entailment	nonsense	NotMu-MiNot	deontic
46	It is not obligatory to shenanigans.	You are permitted not to shenanigans.	entailment	nonsense	NotMu-MiNot	deontic
47	You are not required to flummox.	It is acceptable not to flummox.	entailment	nonsense	NotMu-MiNot	deontic
48	There is no obligation to bamboozle.	You are allowed not to bamboozle.	entailment	nonsense	NotMu-MiNot	deontic
49	It is not mandatory to discombobulate.	You can choose not to discombobulate.	entailment	nonsense	NotMu-MiNot	deontic
50	It is not the case that you must kerfuffle.	It is permissible not to kerfuffle.	entailment	nonsense	NotMu-MiNot	deontic
51	You are not required to razzmatazz.	You are allowed not to razzmatazz.	entailment	nonsense	NotMu-MiNot	deontic
52	It is not obligatory to skedaddle.	It is acceptable not to skedaddle.	entailment	nonsense	NotMu-MiNot	deontic
53	There is no obligation to whippersnapper.	You can choose not to whippersnapper.	entailment	nonsense	NotMu-MiNot	deontic
54	It is not mandatory to nincompoop.	It is permissible not to nincompoop.	entailment	nonsense	NotMu-MiNot	deontic
55	It is not the case that you must lollygag.	You are permitted not to lollygag.	entailment	nonsense	NotMu-MiNot	deontic
56	It is not obligatory to wabbit.	You are allowed not to wabbit.	entailment	nonsense	NotMu-MiNot	deontic
57	You are not required to ballyhoo.	It is acceptable not to ballyhoo.	entailment	nonsense	NotMu-MiNot	deontic
58	There is no obligation to poppycock.	You can choose not to poppycock.	entailment	nonsense	NotMu-MiNot	deontic
59	It is not mandatory to gobbledegook.	It is permissible not to gobbledegook.	entailment	nonsense	NotMu-MiNot	deontic
60	It is not the case that you must mumbo jumbo.	You are permitted not to mumbo jumbo.	entailment	nonsense	NotMu-MiNot	deontic
61	It is not permissible to cheat on the exam.	You are required not to cheat on the exam.	entailment	congruent	NotMi-MuNot	deontic
62	You are not permitted to steal.	It is mandatory not to steal.	entailment	congruent	NotMi-MuNot	deontic
63	You are not allowed to murder.	You must not murder.	entailment	congruent	NotMi-MuNot	deontic
64	It is not acceptable to lie to your parents.	There is an obligation not to lie to your parents.	entailment	congruent	NotMi-MuNot	deontic
65	You cannot choose to drive under the influence.	It is obligatory not to drive under the influence.	entailment	congruent	NotMi-MuNot	deontic
66	It is not permissible to discriminate against others.	You are required not to discriminate against others.	entailment	congruent	NotMi-MuNot	deontic
67	You are not permitted to harm animals.	It is mandatory not to harm animals.	entailment	congruent	NotMi-MuNot	deontic
68	You are not allowed to commit fraud.	You must not commit fraud.	entailment	congruent	NotMi-MuNot	deontic
69	It is not acceptable to break the law.	There is an obligation not to break the law.	entailment	congruent	NotMi-MuNot	deontic
70	You cannot choose to ignore a crying baby.	It is obligatory not to ignore a crying baby.	entailment	congruent	NotMi-MuNot	deontic
71	It is not permissible to spread misinformation.	You are required not to spread misinformation.	entailment	congruent	NotMi-MuNot	deontic
72	You are not permitted to litter.	It is mandatory not to litter.	entailment	congruent	NotMi-MuNot	deontic
73	You are not allowed to trespass.	You must not trespass.	entailment	congruent	NotMi-MuNot	deontic
74	It is not acceptable to betray your friends.	There is an obligation not to betray your friends.	entailment	congruent	NotMi-MuNot	deontic
75	You cannot choose to abuse your power.	It is obligatory not to abuse your power.	entailment	congruent	NotMi-MuNot	deontic
76	It is not permissible to plagiarize.	You are required not to plagiarize.	entailment	congruent	NotMi-MuNot	deontic
77	You are not permitted to engage in insider trading.	It is mandatory not to engage in insider trading.	entailment	congruent	NotMi-MuNot	deontic
78	You are not allowed to commit perjury.	You must not commit perjury.	entailment	congruent	NotMi-MuNot	deontic
79	It is not acceptable to forge documents.	There is an obligation not to forge documents.	entailment	congruent	NotMi-MuNot	deontic
80	You cannot choose to evade taxes.	It is obligatory not to evade taxes.	entailment	congruent	NotMi-MuNot	deontic
81	It is not permissible to eat food.	It is obligatory not to eat food.	entailment	incongruent	NotMi-MuNot	deontic
82	You are not permitted to drink water.	There is an obligation not to drink water.	entailment	incongruent	NotMi-MuNot	deontic
83	You are not allowed to breathe air.	You are required not to breathe air.	entailment	incongruent	NotMi-MuNot	deontic
84	It is not acceptable to sleep.	It is mandatory not to sleep.	entailment	incongruent	NotMi-MuNot	deontic
85	You cannot choose to have a heartbeat.	You must not have a heartbeat.	entailment	incongruent	NotMi-MuNot	deontic
86	It is not permissible to feel happy.	It is obligatory not to feel happy.	entailment	incongruent	NotMi-MuNot	deontic
87	You are not permitted to help others.	There is an obligation not to help others.	entailment	incongruent	NotMi-MuNot	deontic
88	You are not allowed to learn new things.	You are required not to learn new things.	entailment	incongruent	NotMi-MuNot	deontic
89	It is not acceptable to grow old.	It is mandatory not to grow old.	entailment	incongruent	NotMi-MuNot	deontic
90	You cannot choose to tell the truth.	You must not tell the truth.	entailment	incongruent	NotMi-MuNot	deontic
91	It is not permissible to be kind.	It is obligatory not to be kind.	entailment	incongruent	NotMi-MuNot	deontic
92	You are not permitted to love your family.	There is an obligation not to love your family.	entailment	incongruent	NotMi-MuNot	deontic
93	You are not allowed to respect the law.	You are required not to respect the law.	entailment	incongruent	NotMi-MuNot	deontic
94	It is not acceptable to care for your children.	It is mandatory not to care for your children.	entailment	incongruent	NotMi-MuNot	deontic
95	You cannot choose to pay your taxes.	You must not pay your taxes.	entailment	incongruent	NotMi-MuNot	deontic
96	It is not permissible to show compassion.	It is obligatory not to show compassion.	entailment	incongruent	NotMi-MuNot	deontic
97	You are not permitted to experience joy.	There is an obligation not to experience joy.	entailment	incongruent	NotMi-MuNot	deontic
98	You are not allowed to fulfill your responsibilities.	You are required not to fulfill your responsibilities.	entailment	incongruent	NotMi-MuNot	deontic
99	It is not acceptable to be honest.	It is mandatory not to be honest.	entailment	incongruent	NotMi-MuNot	deontic
100	You cannot choose to defend yourself.	You must not defend yourself.	entailment	incongruent	NotMi-MuNot	deontic
101	It is not permissible to flibbertigibbet the flooglehorp.	You are required not to flibbertigibbet the flooglehorp.	entailment	nonsense	NotMi-MuNot	deontic
102	You are not permitted to grommulate the quagmire.	There is an obligation not to grommulate the quagmire.	entailment	nonsense	NotMi-MuNot	deontic
103	You are not allowed to hobble the snollygoster.	It is mandatory not to hobble the snollygoster.	entailment	nonsense	NotMi-MuNot	deontic
104	It is not acceptable to joggle the collywobbles.	You must not joggle the collywobbles.	entailment	nonsense	NotMi-MuNot	deontic
105	You cannot choose to kerfuffle the rambunctious.	It is obligatory not to kerfuffle the rambunctious.	entailment	nonsense	NotMi-MuNot	deontic
106	It is not permissible to lollygag the flummox.	You are required not to lollygag the flummox.	entailment	nonsense	NotMi-MuNot	deontic
107	You are not permitted to miff the spondulicks.	There is an obligation not to miff the spondulicks.	entailment	nonsense	NotMi-MuNot	deontic
108	You are not allowed to niggle the widdershins.	It is mandatory not to niggle the widdershins.	entailment	nonsense	NotMi-MuNot	deontic
109	It is not acceptable to obfuscate the shenanigans.	You must not obfuscate the shenanigans.	entailment	nonsense	NotMi-MuNot	deontic
110	You cannot choose to palter the hornswoggle.	It is obligatory not to palter the hornswoggle.	entailment	nonsense	NotMi-MuNot	deontic
111	It is not permissible to quibble the malarkey.	You are required not to quibble the malarkey.	entailment	nonsense	NotMi-MuNot	deontic
112	You are not permitted to razzle-dazzle the poppycock.	There is an obligation not to razzle-dazzle the poppycock.	entailment	nonsense	NotMi-MuNot	deontic
113	You are not allowed to skedaddle the flummery.	It is mandatory not to skedaddle the flummery.	entailment	nonsense	NotMi-MuNot	deontic
114	It is not acceptable to slobberknocker the gibberish.	You must not slobberknocker the gibberish.	entailment	nonsense	NotMi-MuNot	deontic
115	You cannot choose to snooker the tomfoolery.	It is obligatory not to snooker the tomfoolery.	entailment	nonsense	NotMi-MuNot	deontic
116	It is not permissible to thwack the balderdash.	You are required not to thwack the balderdash.	entailment	nonsense	NotMi-MuNot	deontic
117	You are not permitted to waffle the claptrap.	There is an obligation not to waffle the claptrap.	entailment	nonsense	NotMi-MuNot	deontic
118	You are not allowed to wrangle the hogwash.	It is mandatory not to wrangle the hogwash.	entailment	nonsense	NotMi-MuNot	deontic
119	It is not acceptable to yammer the mumbo jumbo.	You must not yammer the mumbo jumbo.	entailment	nonsense	NotMi-MuNot	deontic
120	You cannot choose to zazzle the rigmarole.	It is obligatory not to zazzle the rigmarole.	entailment	nonsense	NotMi-MuNot	deontic
121	It is permissible not to attend the party.	There is no obligation to attend the party.	entailment	congruent	MiNot-NotMu	deontic
122	You are permitted not to eat breakfast.	It is not mandatory to eat breakfast.	entailment	congruent	MiNot-NotMu	deontic
123	You are allowed not to wear a suit.	You are not required to wear a suit.	entailment	congruent	MiNot-NotMu	deontic
124	It is acceptable not to agree with everyone.	It is not the case that you must agree with everyone.	entailment	congruent	MiNot-NotMu	deontic
125	You can choose not to have children.	It is not obligatory to have children.	entailment	congruent	MiNot-NotMu	deontic
126	It is permissible not to believe in God.	There is no obligation to believe in God.	entailment	congruent	MiNot-NotMu	deontic
127	You are permitted not to vote in the election.	It is not mandatory to vote in the election.	entailment	congruent	MiNot-NotMu	deontic
128	You are allowed not to donate to charity.	You are not required to donate to charity.	entailment	congruent	MiNot-NotMu	deontic
129	It is acceptable not to own a car.	It is not the case that you must own a car.	entailment	congruent	MiNot-NotMu	deontic
130	You can choose not to go to college.	It is not obligatory to go to college.	entailment	congruent	MiNot-NotMu	deontic
131	It is permissible not to follow the rules.	There is no obligation to follow the rules.	entailment	congruent	MiNot-NotMu	deontic
132	You are permitted not to love your parents.	It is not mandatory to love your parents.	entailment	congruent	MiNot-NotMu	deontic
133	You are allowed not to have a Facebook account.	You are not required to have a Facebook account.	entailment	congruent	MiNot-NotMu	deontic
134	It is acceptable not to drink alcohol.	It is not the case that you must drink alcohol.	entailment	congruent	MiNot-NotMu	deontic
135	You can choose not to celebrate Christmas.	It is not obligatory to celebrate Christmas.	entailment	congruent	MiNot-NotMu	deontic
136	It is permissible not to like your job.	There is no obligation to like your job.	entailment	congruent	MiNot-NotMu	deontic
137	You are permitted not to exercise every day.	It is not mandatory to exercise every day.	entailment	congruent	MiNot-NotMu	deontic
138	You are allowed not to reply to the email.	You are not required to reply to the email.	entailment	congruent	MiNot-NotMu	deontic
139	It is acceptable not to be polite to strangers.	It is not the case that you must be polite to strangers.	entailment	congruent	MiNot-NotMu	deontic
140	You can choose not to accept the job offer.	It is not obligatory to accept the job offer.	entailment	congruent	MiNot-NotMu	deontic
141	It is permissible not to wear clothes.	It is not obligatory to wear clothes.	entailment	incongruent	MiNot-NotMu	deontic
142	You are permitted not to eat food.	There is no obligation to eat food.	entailment	incongruent	MiNot-NotMu	deontic
143	You are allowed not to breathe.	You are not required to breathe.	entailment	incongruent	MiNot-NotMu	deontic
144	It is acceptable not to have a heartbeat.	It is not mandatory to have a heartbeat.	entailment	incongruent	MiNot-NotMu	deontic
145	You can choose not to sleep.	It is not the case that you must sleep.	entailment	incongruent	MiNot-NotMu	deontic
146	It is permissible not to help someone in danger.	It is not obligatory to help someone in danger.	entailment	incongruent	MiNot-NotMu	deontic
147	You are permitted not to pay taxes.	There is no obligation to pay taxes.	entailment	incongruent	MiNot-NotMu	deontic
148	You are allowed not to obey traffic laws.	You are not required to obey traffic laws.	entailment	incongruent	MiNot-NotMu	deontic
149	It is acceptable not to tell the truth.	It is not mandatory to tell the truth.	entailment	incongruent	MiNot-NotMu	deontic
150	You can choose not to go to school.	It is not the case that you must go to school.	entailment	incongruent	MiNot-NotMu	deontic
151	It is permissible not to care for your children.	It is not obligatory to care for your children.	entailment	incongruent	MiNot-NotMu	deontic
152	You are permitted not to love your family.	There is no obligation to love your family.	entailment	incongruent	MiNot-NotMu	deontic
153	You are allowed not to respect others.	You are not required to respect others.	entailment	incongruent	MiNot-NotMu	deontic
154	It is acceptable not to feel remorse.	It is not mandatory to feel remorse.	entailment	incongruent	MiNot-NotMu	deontic
155	You can choose not to be honest.	It is not the case that you must be honest.	entailment	incongruent	MiNot-NotMu	deontic
156	It is permissible not to keep promises.	It is not obligatory to keep promises.	entailment	incongruent	MiNot-NotMu	deontic
157	You are permitted not to show gratitude.	There is no obligation to show gratitude.	entailment	incongruent	MiNot-NotMu	deontic
158	You are allowed not to value life.	You are not required to value life.	entailment	incongruent	MiNot-NotMu	deontic
159	It is acceptable not to learn from mistakes.	It is not mandatory to learn from mistakes.	entailment	incongruent	MiNot-NotMu	deontic
160	You can choose not to evolve as a person.	It is not the case that you must evolve as a person.	entailment	incongruent	MiNot-NotMu	deontic
161	It is permissible not to flibbertigibbet.	There is no obligation to flibbertigibbet.	entailment	nonsense	MiNot-NotMu	deontic
162	You are permitted not to gobbledygook.	It is not mandatory to gobbledygook.	entailment	nonsense	MiNot-NotMu	deontic
163	You are allowed not to hootenanny.	You are not required to hootenanny.	entailment	nonsense	MiNot-NotMu	deontic
164	It is acceptable not to codswallop.	It is not the case that you must codswallop.	entailment	nonsense	MiNot-NotMu	deontic
165	You can choose not to malarkey.	It is not obligatory to malarkey.	entailment	nonsense	MiNot-NotMu	deontic
166	It is permissible not to shenanigans.	There is no obligation to shenanigans.	entailment	nonsense	MiNot-NotMu	deontic
167	You are permitted not to flummox.	It is not mandatory to flummox.	entailment	nonsense	MiNot-NotMu	deontic
168	You are allowed not to bamboozle.	You are not required to bamboozle.	entailment	nonsense	MiNot-NotMu	deontic
169	It is acceptable not to discombobulate.	It is not the case that you must discombobulate.	entailment	nonsense	MiNot-NotMu	deontic
170	You can choose not to kerfuffle.	It is not obligatory to kerfuffle.	entailment	nonsense	MiNot-NotMu	deontic
171	It is permissible not to razzmatazz.	There is no obligation to razzmatazz.	entailment	nonsense	MiNot-NotMu	deontic
172	You are permitted not to skedaddle.	It is not mandatory to skedaddle.	entailment	nonsense	MiNot-NotMu	deontic
173	You are allowed not to whippersnapper.	You are not required to whippersnapper.	entailment	nonsense	MiNot-NotMu	deontic
174	It is acceptable not to nincompoop.	It is not the case that you must nincompoop.	entailment	nonsense	MiNot-NotMu	deontic
175	You can choose not to lollygag.	It is not obligatory to lollygag.	entailment	nonsense	MiNot-NotMu	deontic
176	It is permissible not to wabbit.	There is no obligation to wabbit.	entailment	nonsense	MiNot-NotMu	deontic
177	You are permitted not to ballyhoo.	It is not mandatory to ballyhoo.	entailment	nonsense	MiNot-NotMu	deontic
178	You are allowed not to poppycock.	You are not required to poppycock.	entailment	nonsense	MiNot-NotMu	deontic
179	It is acceptable not to gobbledegook.	It is not the case that you must gobbledegook.	entailment	nonsense	MiNot-NotMu	deontic
180	You can choose not to mumbo jumbo.	It is not obligatory to mumbo jumbo.	entailment	nonsense	MiNot-NotMu	deontic
181	It is obligatory to pay taxes.	It is permissible to pay taxes.	entailment	congruent	Mu-Mi	deontic
182	There is an obligation to obey the law.	You are permitted to obey the law.	entailment	congruent	Mu-Mi	deontic
183	You are required to wear a seatbelt.	You are allowed to wear a seatbelt.	entailment	congruent	Mu-Mi	deontic
184	It is mandatory to stop at a red light.	It is acceptable to stop at a red light.	entailment	congruent	Mu-Mi	deontic
185	You must tell the truth in court.	You can choose to tell the truth in court.	entailment	congruent	Mu-Mi	deontic
186	It is obligatory to help someone in need.	It is permissible to help someone in need.	entailment	congruent	Mu-Mi	deontic
187	There is an obligation to keep your promises.	You are permitted to keep your promises.	entailment	congruent	Mu-Mi	deontic
188	You are required to respect other people's property.	You are allowed to respect other people's property.	entailment	congruent	Mu-Mi	deontic
189	It is mandatory to get a visa to visit another country.	It is acceptable to get a visa to visit another country.	entailment	congruent	Mu-Mi	deontic
190	You must follow the rules of the game.	You can choose to follow the rules of the game.	entailment	congruent	Mu-Mi	deontic
191	It is obligatory to be kind to animals.	It is permissible to be kind to animals.	entailment	congruent	Mu-Mi	deontic
192	There is an obligation to protect the environment.	You are permitted to protect the environment.	entailment	congruent	Mu-Mi	deontic
193	You are required to educate yourself about important issues.	You are allowed to educate yourself about important issues.	entailment	congruent	Mu-Mi	deontic
194	It is mandatory to report a crime.	It is acceptable to report a crime.	entailment	congruent	Mu-Mi	deontic
195	You must take care of your health.	You can choose to take care of your health.	entailment	congruent	Mu-Mi	deontic
196	It is obligatory to be a good citizen.	It is permissible to be a good citizen.	entailment	congruent	Mu-Mi	deontic
197	There is an obligation to contribute to society.	You are permitted to contribute to society.	entailment	congruent	Mu-Mi	deontic
198	You are required to be honest with yourself.	You are allowed to be honest with yourself.	entailment	congruent	Mu-Mi	deontic
199	It is mandatory to learn from your mistakes.	It is acceptable to learn from your mistakes.	entailment	congruent	Mu-Mi	deontic
200	You must strive to be your best self.	You can choose to strive to be your best self.	entailment	congruent	Mu-Mi	deontic
201	It is obligatory to steal from others.	It is permissible to steal from others.	entailment	incongruent	Mu-Mi	deontic
202	There is an obligation to lie under oath.	You are permitted to lie under oath.	entailment	incongruent	Mu-Mi	deontic
203	You are required to harm innocent people.	You are allowed to harm innocent people.	entailment	incongruent	Mu-Mi	deontic
204	It is mandatory to drive under the influence of alcohol.	It is acceptable to drive under the influence of alcohol.	entailment	incongruent	Mu-Mi	deontic
205	You must betray your friends.	You can choose to betray your friends.	entailment	incongruent	Mu-Mi	deontic
206	It is obligatory to cheat on exams.	It is permissible to cheat on exams.	entailment	incongruent	Mu-Mi	deontic
207	There is an obligation to spread misinformation.	You are permitted to spread misinformation.	entailment	incongruent	Mu-Mi	deontic
208	You are required to litter in public spaces.	You are allowed to litter in public spaces.	entailment	incongruent	Mu-Mi	deontic
209	It is mandatory to abuse animals.	It is acceptable to abuse animals.	entailment	incongruent	Mu-Mi	deontic
210	You must ignore someone in need.	You can choose to ignore someone in need.	entailment	incongruent	Mu-Mi	deontic
211	It is obligatory to discriminate against others.	It is permissible to discriminate against others.	entailment	incongruent	Mu-Mi	deontic
212	There is an obligation to break promises.	You are permitted to break promises.	entailment	incongruent	Mu-Mi	deontic
213	You are required to invade someone's privacy.	You are allowed to invade someone's privacy.	entailment	incongruent	Mu-Mi	deontic
214	It is mandatory to commit acts of vandalism.	It is acceptable to commit acts of vandalism.	entailment	incongruent	Mu-Mi	deontic
215	You must endanger others with reckless behavior.	You can choose to endanger others with reckless behavior.	entailment	incongruent	Mu-Mi	deontic
216	It is obligatory to exploit vulnerable people.	It is permissible to exploit vulnerable people.	entailment	incongruent	Mu-Mi	deontic
217	There is an obligation to engage in corrupt practices.	You are permitted to engage in corrupt practices.	entailment	incongruent	Mu-Mi	deontic
218	You are required to avoid paying taxes.	You are allowed to avoid paying taxes.	entailment	incongruent	Mu-Mi	deontic
219	It is mandatory to plagiarize others' work.	It is acceptable to plagiarize others' work.	entailment	incongruent	Mu-Mi	deontic
220	You must spread harmful rumors about others.	You can choose to spread harmful rumors about others.	entailment	incongruent	Mu-Mi	deontic
221	It is obligatory to flibbertigibbet.	It is permissible to flibbertigibbet.	entailment	nonsense	Mu-Mi	deontic
222	There is an obligation to gobbledygook.	You are permitted to gobbledygook.	entailment	nonsense	Mu-Mi	deontic
223	You are required to hootenanny.	You are allowed to hootenanny.	entailment	nonsense	Mu-Mi	deontic
224	It is mandatory to codswallop.	It is acceptable to codswallop.	entailment	nonsense	Mu-Mi	deontic
225	You must malarkey.	You can choose to malarkey.	entailment	nonsense	Mu-Mi	deontic
226	It is obligatory to shenanigans.	It is permissible to shenanigans.	entailment	nonsense	Mu-Mi	deontic
227	There is an obligation to flummox.	You are permitted to flummox.	entailment	nonsense	Mu-Mi	deontic
228	You are required to bamboozle.	You are allowed to bamboozle.	entailment	nonsense	Mu-Mi	deontic
229	It is mandatory to discombobulate.	It is acceptable to discombobulate.	entailment	nonsense	Mu-Mi	deontic
230	You must kerfuffle.	You can choose to kerfuffle.	entailment	nonsense	Mu-Mi	deontic
231	It is obligatory to razzmatazz.	It is permissible to razzmatazz.	entailment	nonsense	Mu-Mi	deontic
232	There is an obligation to skedaddle.	You are permitted to skedaddle.	entailment	nonsense	Mu-Mi	deontic
233	You are required to whippersnapper.	You are allowed to whippersnapper.	entailment	nonsense	Mu-Mi	deontic
234	It is mandatory to nincompoop.	It is acceptable to nincompoop.	entailment	nonsense	Mu-Mi	deontic
235	You must lollygag.	You can choose to lollygag.	entailment	nonsense	Mu-Mi	deontic
236	It is obligatory to wabbit.	It is permissible to wabbit.	entailment	nonsense	Mu-Mi	deontic
237	There is an obligation to ballyhoo.	You are permitted to ballyhoo.	entailment	nonsense	Mu-Mi	deontic
238	You are required to poppycock.	You are allowed to poppycock.	entailment	nonsense	Mu-Mi	deontic
239	It is mandatory to gobbledegook.	It is acceptable to gobbledegook.	entailment	nonsense	Mu-Mi	deontic
240	You must mumbo jumbo.	You can choose to mumbo jumbo.	entailment	nonsense	Mu-Mi	deontic
241	It is not permissible to steal from others.	There is no obligation to steal from others.	entailment	congruent	NotMi-NotMu	deontic
242	You are not permitted to cheat on your partner.	It is not mandatory to cheat on your partner.	entailment	congruent	NotMi-NotMu	deontic
243	You are not allowed to drive recklessly.	You are not required to drive recklessly.	entailment	congruent	NotMi-NotMu	deontic
244	It is not acceptable to lie in court.	It is not the case that you must lie in court.	entailment	congruent	NotMi-NotMu	deontic
245	You cannot choose to harm a child.	It is not obligatory to harm a child.	entailment	congruent	NotMi-NotMu	deontic
246	It is not permissible to discriminate based on race.	There is no obligation to discriminate based on race.	entailment	congruent	NotMi-NotMu	deontic
247	You are not permitted to commit treason.	It is not mandatory to commit treason.	entailment	congruent	NotMi-NotMu	deontic
248	You are not allowed to ignore a court order.	You are not required to ignore a court order.	entailment	congruent	NotMi-NotMu	deontic
249	It is not acceptable to abuse animals.	It is not the case that you must abuse animals.	entailment	congruent	NotMi-NotMu	deontic
250	You cannot choose to pollute the environment.	It is not obligatory to pollute the environment.	entailment	congruent	NotMi-NotMu	deontic
251	It is not permissible to spread hate speech.	There is no obligation to spread hate speech.	entailment	congruent	NotMi-NotMu	deontic
252	You are not permitted to engage in cyberbullying.	It is not mandatory to engage in cyberbullying.	entailment	congruent	NotMi-NotMu	deontic
253	You are not allowed to reveal confidential information.	You are not required to reveal confidential information.	entailment	congruent	NotMi-NotMu	deontic
254	It is not acceptable to bribe a government official.	It is not the case that you must bribe a government official.	entailment	congruent	NotMi-NotMu	deontic
255	You cannot choose to commit tax fraud.	It is not obligatory to commit tax fraud.	entailment	congruent	NotMi-NotMu	deontic
256	It is not permissible to impersonate a police officer.	There is no obligation to impersonate a police officer.	entailment	congruent	NotMi-NotMu	deontic
257	You are not permitted to make false accusations.	It is not mandatory to make false accusations.	entailment	congruent	NotMi-NotMu	deontic
258	You are not allowed to threaten violence.	You are not required to threaten violence.	entailment	congruent	NotMi-NotMu	deontic
259	It is not acceptable to destroy public property.	It is not the case that you must destroy public property.	entailment	congruent	NotMi-NotMu	deontic
260	You cannot choose to participate in a riot.	It is not obligatory to participate in a riot.	entailment	congruent	NotMi-NotMu	deontic
261	It is not permissible to murder.	It is not obligatory to murder.	entailment	incongruent	NotMi-NotMu	deontic
262	You are not permitted to steal.	There is no obligation to steal.	entailment	incongruent	NotMi-NotMu	deontic
263	You are not allowed to commit arson.	You are not required to commit arson.	entailment	incongruent	NotMi-NotMu	deontic
