premises_ja	hypothesis_ja	premises_en	hypothesis_en	gold	figure	conversion	content-type	atmosphere	syllogism-type
すべてのAはBである。どのCもBでない。	あるAはCである。	All A are B. No C are B.	Some A are C.	contradiction	AEI	no	symbol	no	syllogism
すべてのAはBである。どのCもBでない。	どのAもCでない。	All A are B. No C are B.	No A are C.	entailment	AEE	no	symbol	no	syllogism
すべてのBはAである。あるCはBである。	あるCはAである。	All B are A. Some C are B.	Some C are A.	entailment	AEE	no	symbol	no	syllogism
すべてのBはAである。あるCはBである。	すべてのCはAである。	All B are A. Some C are B.	All C are A.	neutral	AEA	no	symbol	no	syllogism
すべてのBはAである。あるCはBである。	あるCはAでない。	All B are A. Some C are B.	Some C are not A.	neutral	AEO	no	symbol	no	syllogism
すべてのBはAである。すべてのCはBである。	すべてのCはAである。	All B are A. All C are B.	All C are A.	entailment	AAA	no	symbol	no	syllogism
すべてのBはAである。すべてのCはBである。	すべてのAはCである。	All B are A. All C are B.	All A are C.	neutral	AAA	yes	symbol	no	syllogism
すべてのBはAである。すべてのCはBである。	どのCもAでない。	All B are A. All C are B.	No C are A.	contradiction	AAE	no	symbol	no	syllogism
どのBもAでない。すべてのCはBである。	すべてのCはAである。	No B are A. All C are B.	All C are A.	contradiction	EAA	no	symbol	no	syllogism
どのBもAでない。すべてのCはBである。	あるCはAである。	No B are A. All C are B.	Some C are A.	contradiction	EAO	no	symbol	no	syllogism
どのBもAでない。すべてのCはBである。	どのCもAでない。	No B are A. All C are B.	No C are A.	entailment	EAE	no	symbol	no	syllogism
AまたはBであるものはすべてCである。どのCもDでない。	すべてのAはDである。	All A or B are C. No C are D.	All A are D.	contradiction	extended	no	symbol	no	extended
AまたはBであるものはすべてCである。どのCもDでない。	すべてのCはDである。	All A or B are C. No C are D.	All C are D.	contradiction	extended	no	symbol	no	extended
AまたはBであるものはすべてCである。どのCもDでない。	どのBもDでない。	All A or B are C. No C are D.	No B are D.	entailment	extended	no	symbol	no	extended
すべてのAはBかCである。どのAもBでない。	どのAもCでない。	All A are B or C. No A are B.	No A are C.	contradiction	extended	no	symbol	no	extended
すべてのAはBかCである。どのAもBでない。	すべてのBはCである。	All A are B or C. No A are B.	All B are C.	neutral	extended	no	symbol	no	extended
すべてのAはBかCである。どのAもBでない。	すべてのAはCである。	All A are B or C. No A are B.	All A are C.	entailment	extended	no	symbol	no	extended
AでありかつBであるものはすべてCである。どのCもDでない。	どのDもAでないかBでない。	All A and B are C. No C are D.	No D are A or B.	entailment	extended	no	symbol	no	extended
AでありかつBであるものはすべてCである。どのCもDでない。	すべてのDはAかBである。	All A and B are C. No C are D.	All D are A or B.	neutral	extended	no	symbol	no	extended
AでありかつBであるものはすべてCである。どのCもDでない。	AまたはBであるものはすべてDである。	All A and B are C. No C are D.	All A or B are D.	neutral	extended	no	symbol	no	extended
AでありかつBであるものはすべてCである。どのAもCでない。	どのAもBでない。	All A and B are C. No A are C.	No A are B.	entailment	extended	no	symbol	no	extended
AでありかつBであるものはすべてCである。どのAもCでない。	すべてのAはBである。	All A and B are C. No A are C.	All A are B.	contradiction	extended	no	symbol	no	extended
AでありかつBであるものはすべてCである。どのAもCでない。	どのBもCでない。	All A and B are C. No A are C.	No B are C.	neutral	extended	no	symbol	no	extended
すべてのAはBである。すべてのCはDである。	AかCであるものはすべてBである。	All A are B. All C are D.	All A or C are B.	neutral	extended	no	symbol	no	extended
すべてのAはBである。すべてのCはDである。	AかCであるものはすべてBかDである。	All A are B. All C are D.	All A or C are B or D.	entailment	extended	no	symbol	no	extended
すべてのAはBである。すべてのCはDである。	AでありかつCであるものはすべてBである。	All A are B. All C are D.	All those that are A and C are B.	entailment	extended	no	symbol	no	extended
どのBもCでない。あるAはBである。	あるAはCでない。	No B are C. Some A are B.	Some A are not C.	entailment	EIO	no	symbol	no	syllogism
どのBもCでない。あるAはBである。	どのAもCでない。	No B are C. Some A are B.	No A are C.	neutral	EIE	no	symbol	no	syllogism
どのBもCでない。あるAはBである。	あるAはCである。	No B are C. Some A are B.	Some A are C.	neutral	EII	no	symbol	yes	syllogism
どのBもCでない。あるBはAである。	あるAはCである。	No B are C. Some B are A.	Some A are C.	neutral	EII	no	symbol	yes	syllogism
どのBもCでない。あるBはAである。	あるAはCでない。	No B are C. Some B are A.	Some A are not C.	entailment	EIO	no	symbol	no	syllogism
どのBもCでない。あるBはAである。	どのAもCでない。	No B are C. Some B are A.	No A are C.	neutral	EIE	no	symbol	no	syllogism
あるBはCである。すべてのBはAである。	すべてのAはCである。	Some B are C. All B are A.	All A are C.	neutral	IAA	no	symbol	no	syllogism
あるBはCである。すべてのBはAである。	あるAはCである。	Some B are C. All B are A.	Some A are C.	entailment	IAI	no	symbol	no	syllogism
あるBはCである。すべてのBはAである。	あるAはCでない。	Some B are C. All B are A.	Some A are not C.	neutral	IAO	no	symbol	yes	syllogism
あるBはCでない。すべてのBはAである。	あるAはCである。	Some B are not C. All B are A.	Some A are C.	neutral	OAI	no	symbol	yes	syllogism
あるBはCでない。すべてのBはAである。	あるAはCでない。	Some B are not C. All B are A.	Some A are not C.	entailment	OAO	no	symbol	no	syllogism
あるBはCでない。すべてのBはAである。	どのAもCでない。	Some B are not C. All B are A.	No A are C.	neutral	OAE	no	symbol	yes	syllogism
どのCもBでない。すべてのAはBである。	すべてのAはCである。	No C are B. All A are B.	All A are C.	contradiction	EAA	no	symbol	no	syllogism
どのCもBでない。すべてのAはBである。	あるAはCである。	No C are B. All A are B.	Some A are C.	contradiction	EAI	no	symbol	no	syllogism
どのCもBでない。すべてのAはBである。	どのAもCでない。	No C are B. All A are B.	No A are C.	entailment	EAE	no	symbol	no	syllogism
あるCはBである。すべてのBはAである。	あるCはAである。	Some C are B. All B are A.	Some C are A.	entailment	IAI	no	symbol	no	syllogism
あるCはBである。すべてのBはAである。	すべてのCはAである。	Some C are B. All B are A.	All C are A.	neutral	IAA	no	symbol	no	syllogism
あるCはBである。すべてのBはAである。	あるCはAでない。	Some C are B. All B are A.	Some C are not A.	neutral	IAO	no	symbol	yes	syllogism
どのBもCでない。すべてのAはBである。	すべてのAはCである。	No B are C. All A are B.	All A are C.	contradiction	EAA	no	symbol	no	syllogism
どのBもCでない。すべてのAはBである。	あるAはCである。	No B are C. All A are B.	Some A are C.	contradiction	EAE	no	symbol	no	syllogism
どのBもCでない。すべてのAはBである。	どのAもCでない。	No B are C. All A are B.	No A are C.	entailment	EAA	no	symbol	no	syllogism
すべてのCはBである。すべてのBはAである。	すべてのCはAである。	All C are B. All B are A.	All C are A.	entailment	AAA	no	symbol	no	syllogism
すべてのCはBである。すべてのBはAである。	すべてのAはCである。	All C are B. All B are A.	All A are C.	neutral	AAA	yes	symbol	no	syllogism
すべてのCはBである。すべてのBはAである。	どのCもAでない。	All C are B. All B are A.	No C are A.	contradiction	AAE	no	symbol	no	syllogism
すべてのCはBである。どのBもAでない。	すべてのCはAである。	All C are B. No B are A.	All C are A.	contradiction	AEA	no	symbol	no	syllogism
すべてのCはBである。どのBもAでない。	あるCはAである。	All C are B. No B are A.	Some C are A.	contradiction	AEI	no	symbol	no	syllogism
すべてのCはBである。どのBもAでない。	どのCもAでない。	All C are B. No B are A.	No C are A.	entailment	AEE	no	symbol	no	syllogism
太郎のある友人はポールの友人である。 ポールのすべての友人はドイツ人である。	太郎のすべての友人はドイツ人である。	One friend of Taro is a friend of Paul. All of Paul's friends are German.	All of Taro's friends are German.	neutral	IAA	no	consistent	no	syllogism
太郎のある友人はポールの友人である。 ポールのすべての友人はドイツ人である。	太郎のある友人はドイツ人である。	One friend of Taro is a friend of Paul. All of Paul's friends are German.	One of Taro's friends is German.	entailment	IAI	no	consistent	no	syllogism
太郎のある友人はポールの友人である。 ポールのすべての友人はドイツ人である。	太郎のどの友人もドイツ人でない。	One friend of Taro is a friend of Paul. All of Paul's friends are German.	None of Taro's friends are German.	contradiction	IAE	no	consistent	no	syllogism
すべての太郎の友人はポールの友人である。 すべてのポールの友人はドイツ人である。	太郎のすべての友人はドイツ人である。	All Taro's friends are Paul's friends. All Paul's friends are German.	All of Taro's friends are German.	entailment	AAA	no	consistent	no	syllogism
すべての太郎の友人はポールの友人である。 すべてのポールの友人はドイツ人である。	太郎のある友人はドイツ人でない。	All Taro's friends are Paul's friends. All Paul's friends are German.	One friend of Taro's is not German.	contradiction	AAO	no	consistent	no	syllogism
すべての太郎の友人はポールの友人である。 すべてのポールの友人はドイツ人である。	すべてのドイツ人は太郎の友人である。	All Taro's friends are Paul's friends. All Paul's friends are German.	All Germans are friends of Taro.	neutral	AAA	yes	consistent	no	syllogism
太郎のある友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のある友人はドイツ人でない。	One friend of Taro is a friend of Paul's. None of Paul's friends are German.	One friend of Taro's is not German.	entailment	IEO	no	consistent	no	syllogism
太郎のある友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のどの友人もドイツ人でない。	One friend of Taro is a friend of Paul's. None of Paul's friends are German.	None of Taro's friends are German.	neutral	IEE	no	consistent	no	syllogism
太郎のある友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のある友人はドイツ人である。	One friend of Taro is a friend of Paul's. None of Paul's friends are German.	One of Taro's friends is German.	neutral	IEI	no	consistent	yes	syllogism
太郎のすべての友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のすべての友人はドイツ人である。	All of Taro's friends are friends of Paul. None of Paul's friends are German.	All of Taro's friends are German.	contradiction	AEA	no	consistent	no	syllogism
太郎のすべての友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のある友人はドイツ人である。	All of Taro's friends are friends of Paul. None of Paul's friends are German.	One of Taro's friends is German.	contradiction	AEI	no	consistent	no	syllogism
太郎のすべての友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のどの友人もドイツ人でない。	All of Taro's friends are friends of Paul. None of Paul's friends are German.	None of Taro's friends are German.	entailment	AEE	no	consistent	no	syllogism
ナメクジ共和国のある同盟国はカエル帝国の同盟国である。 ナメクジ共和国のどの同盟国もアメ国の同盟国でない。	カエル帝国のある同盟国はアメ国の同盟国である。	Certain allies of the Slug Republic are allies of the Frog Empire. None of the allies of the Slug Republic are allies of the American Empire.	Certain allies of the Frog Empire are allies of the Amer.	neutral	IEI	no	consistent	yes	syllogism
ナメクジ共和国のある同盟国はカエル帝国の同盟国である。 ナメクジ共和国のどの同盟国もアメ国の同盟国でない。	カエル帝国のある同盟国はアメ国の同盟国でない。	Certain allies of the Slug Republic are allies of the Frog Empire. None of the allies of the Slug Republic are allies of the American Empire.	Certain allies of the Frog Empire are not allies of the American state.	entailment	IEI	no	consistent	no	syllogism
ナメクジ共和国のある同盟国はカエル帝国の同盟国である。 ナメクジ共和国のどの同盟国もアメ国の同盟国でない。	カエル帝国のどの同盟国もアメ国の同盟国でない。	Certain allies of the Slug Republic are allies of the Frog Empire. None of the allies of the Slug Republic are allies of the American Empire.	None of the Frog Empire's allies are allies of the American state.	neutral	IEE	no	consistent	no	syllogism
ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先である。	イヌ会社のすべての取引先はクジラ社の取引先である。	All clients of the Cat Company are clients of the Canine Company. Certain business partners of the Cat Company are business partners of the Whale Company.	All of the canine company's clients are clients of the Whale Company.	neutral	AIA	no	consistent	no	syllogism
ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先である。	イヌ会社のある取引先はクジラ社の取引先である。	All clients of the Cat Company are clients of the Canine Company. Certain business partners of the Cat Company are business partners of the Whale Company.	One of the canine company's clients is a client of the Whale Company.	entailment	AII	no	consistent	no	syllogism
ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先である。	イヌ会社のある取引先はクジラ社の取引先でない。	All clients of the Cat Company are clients of the Canine Company. Certain business partners of the Cat Company are business partners of the Whale Company.	Certain clients of the Canine Company are not clients of the Whale Company.	neutral	AII	no	consistent	yes	syllogism
ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先でない。	イヌ会社のある取引先はクジラ社の取引先である。	All suppliers of the Cat Company are suppliers of the Canine Company. Certain business partners of the Cat Company are not business partners of the Whale Company.	One of the canine company's clients is a client of the Whale Company.	neutral	AII	no	consistent	yes	syllogism
ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先でない。	イヌ会社のある取引先はクジラ社の取引先でない。	All suppliers of the Cat Company are suppliers of the Canine Company. Certain business partners of the Cat Company are not business partners of the Whale Company.	Certain clients of the Canine Company are not clients of the Whale Company.	entailment	AIO	no	consistent	no	syllogism
ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先でない。	イヌ会社のどの取引先もクジラ社の取引先でない。	All suppliers of the Cat Company are suppliers of the Canine Company. Certain business partners of the Cat Company are not business partners of the Whale Company.	None of the canine company's clients are clients of the Whale Company.	neutral	AIE	no	consistent	no	syllogism
ナメクジ共和国のすべての同盟国はカエル帝国の同盟国である。 アメ国のある同盟国はカエル帝国の同盟国でない。	ナメクジ共和国のある同盟国はアメ国の同盟国である。	All allies of the Slug Republic are allies of the Frog Empire. Certain allies of the Ame State are not allies of the Frog Empire.	Certain allies of the slug republics are allies of the Amer.	neutral	AOI	no	consistent	yes	syllogism
ナメクジ共和国のすべての同盟国はカエル帝国の同盟国である。 アメ国のある同盟国はカエル帝国の同盟国でない。	ナメクジ共和国のどの同盟国もアメ国の同盟国でない。	All allies of the Slug Republic are allies of the Frog Empire. Certain allies of the Ame State are not allies of the Frog Empire.	None of the allies of the slug republics are allies of the American state.	neutral	AOE	no	consistent	yes	syllogism
ナメクジ共和国のすべての同盟国はカエル帝国の同盟国である。 アメ国のある同盟国はカエル帝国の同盟国でない。	アメ国のある同盟国はナメクジ共和国の同盟国でない。	All allies of the Slug Republic are allies of the Frog Empire. Certain allies of the Ame State are not allies of the Frog Empire.	Certain allies of the American States are not allies of the Slug Republic.	entailment	AOO	no	consistent	no	syllogism
太郎のある友人はドイツ人でない。 ポールのすべての友人はドイツ人である。	太郎のある友人はポールの友人である。	Certain friends of Taro are not German. All of Paul's friends are German.	One friend of Taro is a friend of Paul's.	neutral	OAI	no	consistent	yes	syllogism
太郎のある友人はドイツ人でない。 ポールのすべての友人はドイツ人である。	太郎のある友人はポールの友人でない。	Certain friends of Taro are not German. All of Paul's friends are German.	Certain friends of Taro are not friends of Paul.	entailment	OAO	no	consistent	no	syllogism
太郎のある友人はドイツ人でない。 ポールのすべての友人はドイツ人である。	太郎のどの友人もポールの友人でない。	Certain friends of Taro are not German. All of Paul's friends are German.	None of Taro's friends are friends of Paul's.	neutral	OAE	no	consistent	yes	syllogism
カエル帝国のすべての同盟国はナメクジ共和国の同盟国である。 アメ国のどの同盟国もナメクジ共和国の同盟国でない。	カエル帝国のすべての同盟国はアメ国の同盟国である。	All allies of the Frog Empire are allies of the Slug Republic. None of the allies of the AMERICANS are allies of the SLUG REPUBLIC.	All allies of the Frog Empire are allies of the Amer.	contradiction	AEI	no	consistent	no	syllogism
カエル帝国のすべての同盟国はナメクジ共和国の同盟国である。 アメ国のどの同盟国もナメクジ共和国の同盟国でない。	カエル帝国のある同盟国はアメ国の同盟国である。	All allies of the Frog Empire are allies of the Slug Republic. None of the allies of the AMERICANS are allies of the SLUG REPUBLIC.	Certain allies of the Frog Empire are allies of the Amer.	contradiction	AEI	no	consistent	no	syllogism
カエル帝国のすべての同盟国はナメクジ共和国の同盟国である。 アメ国のどの同盟国もナメクジ共和国の同盟国でない。	カエル帝国のどの同盟国もアメ国の同盟国でない。	All allies of the Frog Empire are allies of the Slug Republic. None of the allies of the AMERICANS are allies of the SLUG REPUBLIC.	None of the Frog Empire's allies are allies of the American state.	entailment	AEE	no	consistent	no	syllogism
イヌ会社のすべての取引先はクジラ社の取引先である。 ネコカンパニーのある取引先はイヌ会社の取引先である。	ネコカンパニーのある取引先はクジラ社の取引先である。	All clients of the Canine Company are clients of the Whale Company. Certain clients of the Cat Company are clients of the Canine Company.	One of the Cat Company's clients is a client of the Whale Company.	entailment	AII	no	consistent	no	syllogism
イヌ会社のすべての取引先はクジラ社の取引先である。 ネコカンパニーのある取引先はイヌ会社の取引先である。	ネコカンパニーのすべての取引先はクジラ社の取引先である。	All clients of the Canine Company are clients of the Whale Company. Certain clients of the Cat Company are clients of the Canine Company.	All of the Neko Company's clients are clients of the Whale Company.	neutral	AIA	no	consistent	no	syllogism
イヌ会社のすべての取引先はクジラ社の取引先である。 ネコカンパニーのある取引先はイヌ会社の取引先である。	ネコカンパニーのある取引先はクジラ社の取引先でない。	All clients of the Canine Company are clients of the Whale Company. Certain clients of the Cat Company are clients of the Canine Company.	Certain clients of the Cat Company are not clients of the Whale Company.	neutral	AIO	no	consistent	yes	syllogism
ポールのすべての友人はドイツ人である。 太郎のすべての友人はポールの友人である。	太郎のすべての友人はドイツ人である。	All friends of Paul are German. All friends of Taro are friends of Paul.	All of Taro's friends are German.	entailment	AAA	no	consistent	no	syllogism
ポールのすべての友人はドイツ人である。 太郎のすべての友人はポールの友人である。	すべてのドイツ人は太郎の友人である。	All friends of Paul are German. All friends of Taro are friends of Paul.	All Germans are friends of Taro.	neutral	AAA	yes	consistent	no	syllogism
ポールのすべての友人はドイツ人である。 太郎のすべての友人はポールの友人である。	太郎のどの友人もドイツ人でない。	All friends of Paul are German. All friends of Taro are friends of Paul.	None of Taro's friends are German.	contradiction	AAE	no	consistent	no	syllogism
ナメクジ共和国のどの同盟国もカエル帝国の同盟国でない。 アメ国のすべての同盟国はナメクジ共和国の同盟国である。	アメ国のすべての同盟国はカエル帝国の同盟国である。	None of the allies of the Slug Republic are allies of the Frog Empire. All allies of the Amerika are allies of the Slug Republic.	All allies of the Amerindian state are allies of the Frog Empire.	contradiction	EAA	no	consistent	no	syllogism
ナメクジ共和国のどの同盟国もカエル帝国の同盟国でない。 アメ国のすべての同盟国はナメクジ共和国の同盟国である。	アメ国のある同盟国はカエル帝国の同盟国である。	None of the allies of the Slug Republic are allies of the Frog Empire. All allies of the Amerika are allies of the Slug Republic.	Certain allies of the American state are allies of the Frog Empire.	contradiction	EAI	no	consistent	no	syllogism
ナメクジ共和国のどの同盟国もカエル帝国の同盟国でない。 アメ国のすべての同盟国はナメクジ共和国の同盟国である。	アメ国のどの同盟国もカエル帝国の同盟国でない。	None of the allies of the Slug Republic are allies of the Frog Empire. All allies of the Amerika are allies of the Slug Republic.	None of the American allies are allies of the Frog Empire.	entailment	EAE	no	consistent	no	syllogism
リサのどの友人も日本人でない。 太郎のある友人はリサの友人である。	太郎のある友人は日本人でない。	None of Lisa's friends are Japanese. One friend of Taro is a friend of Lisa's.	A certain friend of Taro's is not Japanese.	entailment	EIO	no	consistent	no	syllogism
リサのどの友人も日本人でない。 太郎のある友人はリサの友人である。	太郎のどの友人も日本人でない	None of Lisa's friends are Japanese. One friend of Taro is a friend of Lisa's.	None of Taro's friends are Japanese.	neutral	EIE	no	consistent	no	syllogism
リサのどの友人も日本人でない。 太郎のある友人はリサの友人である。	太郎のある友人は日本人である。	None of Lisa's friends are Japanese. One friend of Taro is a friend of Lisa's.	One of Taro's friends is Japanese.	neutral	EII	no	consistent	yes	syllogism
ネズミ共和国のどの同盟国もヘビ国の同盟国でない。 ネズミ共和国のある同盟国はカエル帝国の同盟国である。	カエル帝国のある同盟国はヘビ国の同盟国である。	None of the allies of the Rat Republic are allies of the Snake State. Certain allies of the Rat Republic are allies of the Frog Empire.	Certain allies of the Frog Empire are allies of the Snake State.	neutral	EII	no	consistent	yes	syllogism
ネズミ共和国のどの同盟国もヘビ国の同盟国でない。 ネズミ共和国のある同盟国はカエル帝国の同盟国である。	カエル帝国のある同盟国はヘビ国の同盟国でない。	None of the allies of the Rat Republic are allies of the Snake State. Certain allies of the Rat Republic are allies of the Frog Empire.	Certain allies of the Frog Empire are not allies of the Snake State.	entailment	EIO	no	consistent	no	syllogism
ネズミ共和国のどの同盟国もヘビ国の同盟国でない。 ネズミ共和国のある同盟国はカエル帝国の同盟国である。	カエル帝国のどの同盟国もヘビ国の同盟国でない。	None of the allies of the Rat Republic are allies of the Snake State. Certain allies of the Rat Republic are allies of the Frog Empire.	None of the Frog Empire's allies are allies of the Snake State.	neutral	EIE	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はクジラ社の取引先である。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のすべての取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the Whale Company. All clients of the Sheep Company are clients of the Bird Company.	All of the Bird Company's clients are clients of Whale Inc.	neutral	IAA	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はクジラ社の取引先である。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the Whale Company. All clients of the Sheep Company are clients of the Bird Company.	One of the Bird Company's clients is a client of the Whale Company.	entailment	IAI	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はクジラ社の取引先である。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先でない。	Certain clients of the Sheep Company are clients of the Whale Company. All clients of the Sheep Company are clients of the Bird Company.	One client of the Bird Company is not a client of Whale Company.	neutral	IAO	no	consistent	yes	syllogism
ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are not clients of the Whale Company. All clients of the Sheep Company are clients of the Bird Company.	One of the Bird Company's clients is a client of the Whale Company.	neutral	OAI	no	consistent	yes	syllogism
ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先でない。	Certain clients of the Sheep Company are not clients of the Whale Company. All clients of the Sheep Company are clients of the Bird Company.	One client of the Bird Company is not a client of Whale Company.	entailment	OAO	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のどの取引先もクジラ社の取引先でない。	Certain clients of the Sheep Company are not clients of the Whale Company. All clients of the Sheep Company are clients of the Bird Company.	None of the Bird Company's clients are clients of Whale Company.	neutral	OAE	no	consistent	yes	syllogism
ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のすべての同盟国はヘビ国の同盟国である。	None of the allies of the Snake Kingdom are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	All allies of the Frog Empire are allies of the Snake State.	contradiction	EAA	no	consistent	no	syllogism
ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のある同盟国はヘビ国の同盟国である。	None of the allies of the Snake Kingdom are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	Certain allies of the Frog Empire are allies of the Snake State.	contradiction	EAI	no	consistent	no	syllogism
ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のどの同盟国もヘビ国の同盟国でない。	None of the allies of the Snake Kingdom are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	None of the Frog Empire's allies are allies of the Snake State.	entailment	EAE	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はトリ会社の取引先である。 トリ会社のすべての取引先はクジラ社の取引先である。	ヒツジカンパニーのある取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the bird Company. All of Tori Company's clients are clients of Whale Company.	One client of the Sheep Company is a client of the Whale Company.	entailment	IAI	no	consistent	no	syllogism
