ID	ORIGINAL_ID	premises_ja	hypothesis_ja	premises_en	hypothesis_en	gold	mood	inference-type	content-type	conversion	atmosphere
29	95	ナメクジ共和国のある同盟国はカエル帝国の同盟国である。 ナメクジ共和国のどの同盟国もアメ国の同盟国でない。	カエル帝国のある同盟国はアメ国の同盟国でない。	Certain allies of the Slug Republic are allies of the Frog Empire. No allies of the Slug Republic are allies of the State of Candy.	Certain allies of the Frog Empire are not allies of the State of Candy.	entailment	IEI	syllogism	congruent	no	no
30	96	ナメクジ共和国のある同盟国はカエル帝国の同盟国である。 ナメクジ共和国のどの同盟国もアメ国の同盟国でない。	カエル帝国のどの同盟国もアメ国の同盟国でない。	Certain allies of the Slug Republic are allies of the Frog Empire. No allies of the Slug Republic are allies of the State of Candy.	No Frog Empire's allies are allies of the State of Candy.	neutral	IEE	syllogism	congruent	no	no
31	97	ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先である。	イヌ会社のすべての取引先はクジラ社の取引先である。	All clients of the Cat Company are clients of the Dog Corporation. Certain clients of the Cat Company are clients of the Whale Corporation.	All of the Dog Corporation's clients are clients of the Whale Corporation.	neutral	AIA	syllogism	congruent	no	no
32	98	ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先である。	イヌ会社のある取引先はクジラ社の取引先である。	All clients of the Cat Company are clients of the Dog Corporation. Certain clients of the Cat Company are clients of the Whale Corporation.	One of the Dog Corporation's clients is a client of the Whale Corporation.	entailment	AII	syllogism	congruent	no	no
33	99	ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先である。	イヌ会社のある取引先はクジラ社の取引先でない。	All clients of the Cat Company are clients of the Dog Corporation. Certain clients of the Cat Company are clients of the Whale Corporation.	Certain clients of the Dog Corporation are not clients of the Whale Corporation.	neutral	AII	syllogism	congruent	no	yes
34	100	ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先でない。	イヌ会社のある取引先はクジラ社の取引先である。	All suppliers of the Cat Company are suppliers of the Dog Corporation. Certain suppliers of the Cat Company are not suppliers of the Whale Corporation.	One of the Dog Corporation's suppliers is a supplier of the Whale Corporation.	neutral	AII	syllogism	congruent	no	yes
35	101	ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先でない。	イヌ会社のある取引先はクジラ社の取引先でない。	All suppliers of the Cat Company are suppliers of the Dog Corporation. Certain suppliers of the Cat Company are not suppliers of the Whale Corporation.	Certain suppliers of the Dog Corporation are not suppliers of the Whale Corporation.	entailment	AIO	syllogism	congruent	no	no
36	102	ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先でない。	イヌ会社のどの取引先もクジラ社の取引先でない。	All suppliers of the Cat Company are suppliers of the Dog Corporation. Certain suppliers of the Cat Company are not suppliers of the Whale Corporation.	No Dog Corporation's suppliers are suppliers of the Whale Corporation.	neutral	AIE	syllogism	congruent	no	no
37	103	ナメクジ共和国のすべての同盟国はカエル帝国の同盟国である。 アメ国のある同盟国はカエル帝国の同盟国でない。	ナメクジ共和国のある同盟国はアメ国の同盟国である。	All allies of the Slug Republic are allies of the Frog Empire. Certain allies of the State of Candy are not allies of the Frog Empire.	Certain allies of the Slug Republic are allies of the State of Candy.	neutral	AOI	syllogism	congruent	no	yes
38	104	ナメクジ共和国のすべての同盟国はカエル帝国の同盟国である。 アメ国のある同盟国はカエル帝国の同盟国でない。	ナメクジ共和国のどの同盟国もアメ国の同盟国でない。	All allies of the Slug Republic are allies of the Frog Empire. Certain allies of the State of Candy are not allies of the Frog Empire.	No allies of the Slug Republic are allies of the State of Candy.	neutral	AOE	syllogism	congruent	no	yes
39	105	ナメクジ共和国のすべての同盟国はカエル帝国の同盟国である。 アメ国のある同盟国はカエル帝国の同盟国でない。	アメ国のある同盟国はナメクジ共和国の同盟国でない。	All allies of the Slug Republic are allies of the Frog Empire. Certain allies of the State of Candy are not allies of the Frog Empire.	Certain allies of the State of Candy are not allies of the Slug Republic.	entailment	AOO	syllogism	congruent	no	no
40	106	太郎のある友人はドイツ人でない。 ポールのすべての友人はドイツ人である。	太郎のある友人はポールの友人である。	Certain friends of Taro are not German. All of Paul's friends are German.	One friend of Taro is a friend of Paul's.	neutral	OAI	syllogism	congruent	no	yes
41	107	太郎のある友人はドイツ人でない。 ポールのすべての友人はドイツ人である。	太郎のある友人はポールの友人でない。	Certain friends of Taro are not German. All of Paul's friends are German.	Certain friends of Taro are not friends of Paul.	entailment	OAO	syllogism	congruent	no	no
42	108	太郎のある友人はドイツ人でない。 ポールのすべての友人はドイツ人である。	太郎のどの友人もポールの友人でない。	Certain friends of Taro are not German. All of Paul's friends are German.	None of Taro's friends are friends of Paul's.	neutral	OAE	syllogism	congruent	no	yes
43	109	カエル帝国のすべての同盟国はナメクジ共和国の同盟国である。 アメ国のどの同盟国もナメクジ共和国の同盟国でない。	カエル帝国のすべての同盟国はアメ国の同盟国である。	All allies of the Frog Empire are allies of the Slug Republic. No allies of the State of Candy are allies of the Slug Republic.	All allies of the Frog Empire are allies of the State of Candy.	contradiction	AEI	syllogism	congruent	no	no
44	110	カエル帝国のすべての同盟国はナメクジ共和国の同盟国である。 アメ国のどの同盟国もナメクジ共和国の同盟国でない。	カエル帝国のある同盟国はアメ国の同盟国である。	All allies of the Frog Empire are allies of the Slug Republic. No allies of the State of Candy are allies of the Slug Rebublic.	Certain allies of the Frog Empire are allies of the State of Candy.	contradiction	AEI	syllogism	congruent	no	no
45	111	カエル帝国のすべての同盟国はナメクジ共和国の同盟国である。 アメ国のどの同盟国もナメクジ共和国の同盟国でない。	カエル帝国のどの同盟国もアメ国の同盟国でない。	All allies of the Frog Empire are allies of the Slug Republic. No allies of the State of Candy are allies of the Slug Republic.	No Frog Empire's allies are allies of the State of Candy.	entailment	AEE	syllogism	congruent	no	no
46	112	イヌ会社のすべての取引先はクジラ社の取引先である。 ネコカンパニーのある取引先はイヌ会社の取引先である。	ネコカンパニーのある取引先はクジラ社の取引先である。	All clients of the Dog Corporation are clients of the Whale Corporation. Certain clients of the Cat Company are clients of the Dog Corporation.	One of the Cat Company's clients is a client of the Whale Corporation.	entailment	AII	syllogism	congruent	no	no
47	113	イヌ会社のすべての取引先はクジラ社の取引先である。 ネコカンパニーのある取引先はイヌ会社の取引先である。	ネコカンパニーのすべての取引先はクジラ社の取引先である。	All clients of the Dog Corporation are clients of the Whale Corporation. Certain clients of the Cat Company are clients of the Dog Corporation.	All of the Cat Company's clients are clients of the Whale Corporation.	neutral	AIA	syllogism	congruent	no	no
48	114	イヌ会社のすべての取引先はクジラ社の取引先である。 ネコカンパニーのある取引先はイヌ会社の取引先である。	ネコカンパニーのある取引先はクジラ社の取引先でない。	All clients of the Dog Corporation are clients of the Whale Corporation. Certain clients of the Cat Company are clients of the Dog Corporation.	Certain clients of the Cat Company are not clients of the Whale Corporation.	neutral	AIO	syllogism	congruent	no	yes
49	115	ポールのすべての友人はドイツ人である。 太郎のすべての友人はポールの友人である。	太郎のすべての友人はドイツ人である。	All friends of Paul are German. All friends of Taro are friends of Paul.	All of Taro's friends are German.	entailment	AAA	syllogism	congruent	no	no
50	116	ポールのすべての友人はドイツ人である。 太郎のすべての友人はポールの友人である。	すべてのドイツ人は太郎の友人である。	All friends of Paul are German. All friends of Taro are friends of Paul.	All Germans are friends of Taro.	neutral	AAA	syllogism	congruent	yes	no
51	117	ポールのすべての友人はドイツ人である。 太郎のすべての友人はポールの友人である。	太郎のどの友人もドイツ人でない。	All friends of Paul are German. All friends of Taro are friends of Paul.	None of Taro's friends are German.	contradiction	AAE	syllogism	congruent	no	no
52	118	ナメクジ共和国のどの同盟国もカエル帝国の同盟国でない。 アメ国のすべての同盟国はナメクジ共和国の同盟国である。	アメ国のすべての同盟国はカエル帝国の同盟国である。	No allies of the Slug Republic are allies of the Frog Empire. All allies of the State of Candy are allies of the Slug Republic.	All allies of the State of Candy are allies of the Frog Empire.	contradiction	EAA	syllogism	congruent	no	no
53	119	ナメクジ共和国のどの同盟国もカエル帝国の同盟国でない。 アメ国のすべての同盟国はナメクジ共和国の同盟国である。	アメ国のある同盟国はカエル帝国の同盟国である。	No allies of the Slug Republic are allies of the Frog Empire. All allies of the State of Candy are allies of the Slug Republic.	Certain allies of the State of Candy are allies of the Frog Empire.	contradiction	EAI	syllogism	congruent	no	no
54	120	ナメクジ共和国のどの同盟国もカエル帝国の同盟国でない。 アメ国のすべての同盟国はナメクジ共和国の同盟国である。	アメ国のどの同盟国もカエル帝国の同盟国でない。	No allies of the Slug Republic are allies of the Frog Empire. All allies of the State of Candy are allies of the Slug Republic.	No State of Candy's allies are allies of the Frog Empire.	entailment	EAE	syllogism	congruent	no	no
55	121	リサのどの友人も日本人でない。 太郎のある友人はリサの友人である。	太郎のある友人は日本人でない。	None of Lisa's friends are Japanese. One friend of Taro is a friend of Lisa's.	A certain friend of Taro's is not Japanese.	entailment	EIO	syllogism	congruent	no	no
56	122	リサのどの友人も日本人でない。 太郎のある友人はリサの友人である。	太郎のどの友人も日本人でない。	None of Lisa's friends are Japanese. One friend of Taro is a friend of Lisa's.	None of Taro's friends are Japanese.	neutral	EIE	syllogism	congruent	no	no
57	123	リサのどの友人も日本人でない。 太郎のある友人はリサの友人である。	太郎のある友人は日本人である。	None of Lisa's friends are Japanese. One friend of Taro is a friend of Lisa's.	One of Taro's friends is Japanese.	neutral	EII	syllogism	congruent	no	yes
58	124	ネズミ共和国のどの同盟国もヘビ国の同盟国でない。 ネズミ共和国のある同盟国はカエル帝国の同盟国である。	カエル帝国のある同盟国はヘビ国の同盟国である。	No allies of the Rat Republic are allies of the State of Snake. Certain allies of the Rat Republic are allies of the Frog Empire.	Certain allies of the Frog Empire are allies of the State of Snake.	neutral	EII	syllogism	congruent	no	yes
59	125	ネズミ共和国のどの同盟国もヘビ国の同盟国でない。 ネズミ共和国のある同盟国はカエル帝国の同盟国である。	カエル帝国のある同盟国はヘビ国の同盟国でない。	No allies of the Rat Republic are allies of the State of Snake. Certain allies of the Rat Republic are allies of the Frog Empire.	Certain allies of the Frog Empire are not allies of the State of Snake.	entailment	EIO	syllogism	congruent	no	no
60	126	ネズミ共和国のどの同盟国もヘビ国の同盟国でない。 ネズミ共和国のある同盟国はカエル帝国の同盟国である。	カエル帝国のどの同盟国もヘビ国の同盟国でない。	No allies of the Rat Republic are allies of the State of Snake. Certain allies of the Rat Republic are allies of the Frog Empire.	No Frog Empire's allies are allies of the State of Snake.	neutral	EIE	syllogism	congruent	no	no
61	127	ヒツジカンパニーのある取引先はクジラ社の取引先である。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のすべての取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the Whale Corporation. All clients of the Sheep Company are clients of the Bird Corporation.	All of the Bird Corporation's clients are clients of Whale Inc.	neutral	IAA	syllogism	congruent	no	no
62	128	ヒツジカンパニーのある取引先はクジラ社の取引先である。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the Whale Corporation. All clients of the Sheep Company are clients of the Bird Corporation.	One of the Bird Corporation's clients is a client of the Whale Corporation.	entailment	IAI	syllogism	congruent	no	no
63	129	ヒツジカンパニーのある取引先はクジラ社の取引先である。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先でない。	Certain clients of the Sheep Company are clients of the Whale Corporation. All clients of the Sheep Company are clients of the Bird Corporation.	One client of the Bird Corporation is not a client of Whale Corporation.	neutral	IAO	syllogism	congruent	no	yes
64	130	ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are not clients of the Whale Corporation. All clients of the Sheep Company are clients of the Bird Corporation.	One of the Bird Corporation's clients is a client of the Whale Corporation.	neutral	OAI	syllogism	congruent	no	yes
65	131	ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先でない。	Certain clients of the Sheep Company are not clients of the Whale Corporation. All clients of the Sheep Company are clients of the Bird Corporation.	One client of the Bird Corporation is not a client of Whale Corporation.	entailment	OAO	syllogism	congruent	no	no
66	132	ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のどの取引先もクジラ社の取引先でない。	Certain clients of the Sheep Company are not clients of the Whale Corporation. All clients of the Sheep Company are clients of the Bird Corporation.	No Bird Corporation's clients are clients of Whale Corporation.	neutral	OAE	syllogism	congruent	no	yes
67	133	ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のすべての同盟国はヘビ国の同盟国である。	No allies of the State of Snake are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	All allies of the Frog Empire are allies of the State of Snake.	contradiction	EAA	syllogism	congruent	no	no
68	134	ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のある同盟国はヘビ国の同盟国である。	No allies of the State of Snake are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	Certain allies of the Frog Empire are allies of the State of Snake.	contradiction	EAI	syllogism	congruent	no	no
69	135	ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のどの同盟国もヘビ国の同盟国でない。	No allies of the State of Snake are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	No Frog Empire's allies are allies of the State of Snake.	entailment	EAE	syllogism	congruent	no	no
70	136	ヒツジカンパニーのある取引先はトリ会社の取引先である。 トリ会社のすべての取引先はクジラ社の取引先である。	ヒツジカンパニーのある取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the Bird Corporation. All of Bird Corporation's clients are clients of Whale Corporation.	One client of the Sheep Company is a client of the Whale Corporation.	entailment	IAI	syllogism	congruent	no	no
71	137	ヒツジカンパニーのある取引先はトリ会社の取引先である。 トリ会社のすべての取引先はクジラ社の取引先である。	ヒツジカンパニーのすべての取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the Bird Corporation. All of Bird Corporation's clients are clients of Whale Corporation.	All of the Sheep Company's clients are clients of the Whale Corporation.	neutral	IAA	syllogism	congruent	no	no
72	138	ヒツジカンパニーのある取引先はトリ会社の取引先である。 トリ会社のすべての取引先はクジラ社の取引先である。	ヒツジカンパニーのある取引先はクジラ社の取引先でない。	Certain clients of the Sheep Company are clients of the Bird Corporation. All of Bird Corporation's clients are clients of Whale Corporation.	Certain clients of the Sheep Company are not clients of the Whale Corporation.	neutral	IAO	syllogism	congruent	no	yes
73	139	リサのどの友人も日本人ではない。 太郎のすべての友人はリサの友人である。	太郎のすべての友人は日本人である。	None of Lisa's friends are Japanese. All of Taro's friends are friends of Lisa.	All of Taro's friends are Japanese.	contradiction	EAA	syllogism	congruent	no	no
74	140	リサのどの友人も日本人ではない。 太郎のすべての友人はリサの友人である。	太郎のある友人は日本人である。	None of Lisa's friends are Japanese. All of Taro's friends are friends of Lisa.	One of Taro's friends is Japanese.	contradiction	EAI	syllogism	congruent	no	no
75	141	リサのどの友人も日本人ではない。 太郎のすべての友人はリサの友人である。	太郎のどの友人も日本人でない。	None of Lisa's friends are Japanese. All of Taro's friends are friends of Lisa.	None of Taro's friends are Japanese.	entailment	EAE	syllogism	congruent	no	no
76	142	太郎のすべての友人はリサの友人である。 リサのすべての友人は日本人である。	太郎のすべての友人は日本人である。	All of Taro's friends are friends of Lisa. All of Lisa's friends are Japanese.	All of Taro's friends are Japanese.	entailment	AAA	syllogism	congruent	no	no
77	143	太郎のすべての友人はリサの友人である。 リサのすべての友人は日本人である。	すべての日本人は太郎の友人である。	All of Taro's friends are friends of Lisa. All of Lisa's friends are Japanese.	All Japanese are friends of Taro.	neutral	AAA	syllogism	congruent	yes	no
78	144	太郎のすべての友人はリサの友人である。 リサのすべての友人は日本人である。	太郎のどの友人も日本人でない。	All of Taro's friends are friends of Lisa. All of Lisa's friends are Japanese.	None of Taro's friends are Japanese.	contradiction	AAE	syllogism	congruent	no	no
79	145	ヘビ国のすべての同盟国はネズミ共和国の同盟国である。 ネズミ共和国のどの同盟国もカエル帝国の同盟国でない。	ヘビ国のすべての同盟国はカエル帝国の同盟国である。	All allies of the State of Snake are allies of the Rat Republic. No allies of the Rat Republic are allies of the Frog Empire.	All allies of the State of Snake are allies of the Frog Empire.	contradiction	AEA	syllogism	congruent	no	no
80	146	ヘビ国のすべての同盟国はネズミ共和国の同盟国である。 ネズミ共和国のどの同盟国もカエル帝国の同盟国でない。	ヘビ国のある同盟国はカエル帝国の同盟国である。	All allies of the State of Snake are allies of the Rat Republic. No allies of the Rat Republic are allies of the Frog Empire.	Certain allies of the State of Snake are allies of the Frog Empire.	contradiction	AEI	syllogism	congruent	no	no
81	147	ヘビ国のすべての同盟国はネズミ共和国の同盟国である。 ネズミ共和国のどの同盟国もカエル帝国の同盟国でない。	ヘビ国のどの同盟国もカエル帝国の同盟国でない。	All allies of the State of Snake are allies of the Rat Republic. No allies of the Rat Republic are allies of the Frog Empire.	No allies of the State of Snake are allies of the Frog Empire.	entailment	AEE	syllogism	congruent	no	no
82	148	あるロボットは機械である。 すべての機械は壊れる。	すべてのロボットは壊れる。	Some robots are machines. All machines break.	All robots break.	neutral	IAA	syllogism	congruent	no	no
83	149	あるロボットは機械である。 すべての機械は壊れる。	あるロボットは壊れる。	Some robots are machines. All machines break.	Some robots break.	entailment	IAI	syllogism	congruent	no	no
84	150	あるロボットは機械である。 すべての機械は壊れる。	どのロボットも壊れない。	Some robots are machines. All machines break.	No robots break.	contradiction	IAE	syllogism	congruent	no	no
85	151	すべての動物は哺乳類である。 すべての哺乳類は人間である。	すべての動物は人間である。	All animals are mammals. All mammals are human beings.	All animals are human.	entailment	AAA	syllogism	congruent	no	no
86	152	すべての動物は哺乳類である。 すべての哺乳類は人間である。	ある動物は人間でない。	All animals are mammals. All mammals are human beings.	Some animals are not human.	contradiction	AAO	syllogism	congruent	no	no
87	153	すべての動物は哺乳類である。 すべての哺乳類は人間である。	すべての人間は動物である。	All animals are mammals. All mammals are human beings.	All humans are animals.	neutral	AAA	syllogism	congruent	yes	no
88	154	ある教員は男性である。 どの男性も女性でない。	ある教員は女性でない。	Some teacher is male. No men are women.	Some teacher is not a woman.	entailment	IEO	syllogism	congruent	no	no
89	155	ある教員は男性である。 どの男性も女性でない。	どの教員も女性でない。	Some teacher is male. No men are women.	No teachers are women.	neutral	IEE	syllogism	congruent	no	no
90	156	ある教員は男性である。 どの男性も女性でない。	ある教員は女性である。	Some teacher is male. No men are women.	Some teacher is a woman.	neutral	IEI	syllogism	congruent	no	yes
91	157	すべての人間は哺乳類である。 どの哺乳類もワニでない。	すべてのワニは人間である。	All humans are mammals. No mammal is a crocodile.	All crocodiles are human.	contradiction	AEA	syllogism	incongruent	no	no
92	158	すべての人間は哺乳類である。 どの哺乳類もワニでない。	あるワニは人間である。	All humans are mammals. No mammal is a crocodile.	Some crocodiles are human.	contradiction	AEI	syllogism	incongruent	no	no
93	159	すべての人間は哺乳類である。 どの哺乳類もワニでない。	どのワニも人間でない。	All humans are mammals. No mammal is a crocodile.	No crocodiles are human.	entailment	AEE	syllogism	congruent	no	no
94	160	あるイヌはペットである。 どのイヌもネコでない。	あるペットはネコである。	Some canines are pets. Every canine is not a cat.	Some pet is a cat.	neutral	IEI	syllogism	congruent	no	yes
95	161	あるイヌはペットである。 どのイヌもネコでない。	あるペットはネコでない。	Some canines are pets. Every canine is not a cat.	Some pet is not a cat.	entailment	IEO	syllogism	congruent	no	no
96	162	あるイヌはペットである。 どのイヌもネコでない。	どのペットもネコでない。	Some canines are pets. Every canine is not a cat.	No pets are cats.	neutral	IEE	syllogism	congruent	no	no
97	163	すべての金属は液体である。 ある金属は石である。	すべての石は液体である。	All metals are liquids. Some metals are stones.	All stones are liquid.	neutral	AIA	syllogism	incongruent	no	no
98	164	すべての金属は液体である。 ある金属は石である。	ある石は液体である。	All metals are liquids. Some metals are stones.	Some stones are liquid.	entailment	AII	syllogism	incongruent	no	no
99	165	すべての金属は液体である。 ある金属は石である。	ある石は液体でない。	All metals are liquids. Some metals are stones.	Some stones are not liquid.	neutral	AIO	syllogism	incongruent	no	yes
100	166	すべてのロボットは機械である。 あるロボットは商品でない。	ある機械は商品である。	All robots are machines. Some robots are not commodities.	Some machines are commodities.	neutral	AOI	syllogism	congruent	no	yes
101	167	すべてのロボットは機械である。 あるロボットは商品でない。	ある機械は商品でない。	All robots are machines. Some robots are not commodities.	Some machines are not commodities.	entailment	AOO	syllogism	congruent	no	no
102	168	すべてのロボットは機械である。 あるロボットは商品でない。	どの機械も商品でない。	All robots are machines. Some robots are not commodities.	No machine is a commodity.	neutral	AOE	syllogism	congruent	no	yes
103	169	すべての動物は生物である。 ある人間は生物でない。	ある動物は人間である。	All animals are living things. Some humans are not living things.	Some animal is a human being.	neutral	AOI	syllogism	incongruent	no	yes
104	170	すべての動物は生物である。 ある人間は生物でない。	どの動物も人間でない。	All animals are living things. Some humans are not living things.	No animals are human.	neutral	AOE	syllogism	incongruent	no	yes
105	171	すべての動物は生物である。 ある人間は生物でない。	ある人間は動物でない。	All animals are living things. Some humans are not living things.	Some humans are not animals.	entailment	AOO	syllogism	incongruent	no	no
106	172	ある警察官は公務員でない。 すべての人間は公務員である。	ある警察官は人間である。	A certain police officer is not a public servant. All human beings are public servants.	Some police officer is a human being.	neutral	OAI	syllogism	incongruent	no	yes
107	173	ある警察官は公務員でない。 すべての人間は公務員である。	ある警察官は人間でない。	A certain police officer is not a public servant. All human beings are public servants.	Some police officer is not a human being.	entailment	OAO	syllogism	incongruent	no	no
