ID	premises_ja	hypothesis_ja_1	hypothesis_ja_2	hypothesis_ja_3	hypothesis_ja_4	hypothesis_ja_5	premises_en	hypothesis_en_1	hypothesis_en_2	hypothesis_en_3	hypothesis_en_4	hypothesis_en_5	gold	content-type	mood	figure
29	どのAもBでない。 あるBはCである。	すべてのCはAである。	あるCはAである。	どのCもAでない。	あるCはAでない。	どれでもない。	No A are B. Some B are C.	Some C is A.	No C are A.	No C is A.	Some C are not A.	none of them.	4	symbolic	EIO	1
30	あるBはAでない。  すべてのBはCである。	あるCはAである。	どのCもAでない。	どれでもない。	すべてのCはAである。	あるCはAでない。	Some B are not A. All B are C.	Some A is C.	No C is A.	none of them.	All C are A.	Some C are not A.	5	symbolic	OAO	4
31	どのBもCでない。  あるAはBである。	あるAはCである。	すべてのAはCである。	どれでもない。	どのAもCでない。	あるAはCでない。	No B are C. Some A are B.	Some A are C.	All A are C.	none of them.	No A are C.	Some A is not C.	5	symbolic	EIO	2
32	どのAもBでない。  あるCはBである。	すべてのCはAである。	あるCはAでない。	あるCはAである。	どのCもAでない。	どれでもない。	No A are B. Some C are B.	Some C are not A.	Some C are not A.	Some C is A.	No C is A.	none of them.	2	symbolic	EIO	3
33	すべてのAはBである。  どのCもBでない。	すべてのAはCである。	あるAはCである。	どのAもCでない。	どれでもない。	あるAはCでない。	All A are B. No C are B.	Some A is C.	Some A are C.	No A are C.	none of them.	Some A is not C.	3	symbolic	AEE	3
34	あるBはCである。  どのAもBでない。	すべてのCはAである。	あるCはAでない。	あるCはAである。	どれでもない。	どのCもAでない。	Some B are C. No A are B.	Some C are not A.	Some C are not A.	Some C is A.	none of them.	No C is A.	2	symbolic	IEO	2
35	どのBもCでない。  あるBはAである。	あるAはCである。	あるAはCでない。	どのAもCでない。	すべてのAはCである。	どれでもない。	No B is C. Some B is A.	Some A is C.	Some A is not C.	No A are C.	All A are C.	none of them.	2	symbolic	EIO	4
36	すべてのBはAである。  あるCはBである。	すべてのAはCである。	あるAはCでない。	あるAはCである。	どのAもCでない。	どれでもない。	All B are A. Some B are not C.	All A are C.	Some A is not C.	Some A is C.	No A are C.	none of them.	3	symbolic	AII	2
37	あるBはAである。  すべてのBはCである。	どのAもCでない。	どれでもない。	あるAはCでない。	すべてのAはCである。	あるAはCである。	Some B are A. All B are C.	No A are C.	none of them.	Some A are not C.	All A are C.	Some A is C.	5	symbolic	IAI	4
38	どのBもAでない。  すべてのCはBである。	どのAもCでない。	どれでもない。	すべてのAはCである。	あるAはCでない。	あるAはCである。	No B is A. All C are B.	No A are C.	none of them.	All A are C.	Some A are not C.	Some A is C.	1	symbolic	OAE	2
39	すべてのBはAである。  すべてのCはBである。	あるCはAでない。	どのCもAでない。	あるCはAである。	どれでもない。	すべてのCはAである。	All B are A. All C are B.	Some C are not A.	No C is A.	Some C is A.	none of them.	All C are A.	5	symbolic	AAA	2
40	すべてのBはAである。  あるCはBである。	すべてのCはAである。	どのCもAでない。	あるCはAである。	どれでもない。	あるCはAでない。	All B are A. Some C are B.	All C are A.	No C is A.	Some C is A.	none of them.	Some C is not A.	3	symbolic	AII	2
41	ある野生動物は哺乳類である。  どの野生動物も家畜でない。	ある哺乳類は家畜でない。	どれでもない。	ある哺乳類は家畜である。	すべての哺乳類は家畜である。	どの哺乳類も家畜でない。	Some wild animals are mammals. No wild animal is domesticated.	Some mammals are not domesticated.	none of them.	A certain mammal is livestock.	All mammals are livestock.	No mammal is livestock.	1	congruent	IEO	4
42	ある生物は動物でない。  すべての人間は動物である。	すべての生物は人間である。	ある生物は人間である。	どの生物も人間でない。	ある生物は人間でない。	どれでもない。	Some living things are not animals. All humans are animals.	All living things are human.	A certain living things is a human.	No living thing is human.	There is a creature that is not human.	none of them.	4	congruent	OAO	3
43	ある鳥は渡り鳥である。  どの渡り鳥もオウムでない。	どの鳥もオウムでない。	どの鳥もオウムでない。	すべての鳥はオウムである。	ある鳥はオウムである。	ある鳥はオウムでない。	A certain bird is a migratory bird. No migratory bird is a parrot.	No bird is a parrot.	All birds are parrots.	A certain bird is a parrot.	A certain bird is not a parrot.	none of them.	4	congruent	IEI	1
44	すべてのオーブラックは動物である。  あるオーブラックは生物でない。	ある動物は生物でない。	ある動物は生物でない。	すべての動物は生物である。	ある動物は生物である。	どれでもない。	All oroburack are animals. Some oroburack are not living things.	Some animals are not living things.	All animals are living things.	Some animal is a living thing.	none of them.	No animal is not a living thing.	1	incongruent	AOO	4
45	すべての哺乳類はエピフォである。  あるウサギはエピフォでない。	すべてのウサギは哺乳類である。	あるウサギは哺乳類でない。	どれでもない。	どのウサギも哺乳類でない。	あるウサギは哺乳類である。	All mammals are epipho. A certain rabbit is not an epipho.	All rabbits are mammals.	A certain rabbit is not a mammal.	none of them.	No rabbit is a mammal.	A certain rabbit is a mammal.	2	incongruent	AOO	3
46	すべてのマグロはエモフである。  どのエモフも魚でない。	あるマグロは魚である。	あるマグロは魚でない。	すべてのマグロは魚である。	どのマグロも魚でない。	どれでもない。	All tuna are emov. No emov is a fish.	A certain tuna is a fish.	A certain tuna is not a fish.	All tuna are fish.	No tuna is a fish.	none of them.	4	incongruent	AEE	1
47	すべての料理人は人間である。  ある料理人はロシア人である。	すべての人間はロシア人である。	どの人間もロシア人でない。	ある人間はロシア人である。	どれでもない。	ある人間はロシア人でない。	All chefs are human.  A certain chef is Russian.	All humans are Russian.	No one is Russian.	A certain person is Russian.	none of them.	A certain person is not Russian.	3	congruent	AII	4
48	すべての動物は生物である。  ある動物は牛でない。	ある生物は牛でない。	すべての生物は牛である。	ある生物は牛である。	どれでもない。	どの生物も牛でない。	All animals are living things. Some animals are not cows.	A certain organism is not a cow.	All living things are cows.	A certain organism is a cow.	none of them.	No living thing is a cow.	1	congruent	AOO	4
49	あるフィロノは猫である。  どのフィロノも動物でない。	ある猫は動物でない。	どれでもない。	すべての猫は動物である。	ある猫は動物である。	どの猫も動物でない。	A certain philono is a cat.  No philono is an animal.	A certain cat is not an animal.	none of them.	All cats are animals.	A certain cat is an animal.	No cat is an animal.	1	incongruent	IEO	4
50	ある人間はダリオでない。  すべての動物はダリオである。	ある人間は動物である。	すべての人間は動物である。	どの人間も動物でない。	ある人間は動物でない。	どれでもない。	One person is not dario.  All animals are dario.	A certain human is an animal.	All humans are animals.	No human is an animal.	A certain person is not an animal.	none of them.	4	incongruent	OAO	3
51	すべてのウサギは草食動物である。  ある哺乳類は草食動物でない。	すべての哺乳類はウサギである。	ある哺乳類はウサギでない。	どれでもない。	ある哺乳類はウサギである。	どの哺乳類もウサギでない。	All rabbits are herbivores.  Some mammals are not herbivores.	All mammals are rabbits.	A certain mammal is not a rabbit.	none of them.	One mammal is a rabbit.	No mammal is a rabbit.	2	congruent	AOO	3
52	すべてのマグロは魚である。  どの魚も哺乳類でない。	どれでもない。	あるマグロは哺乳類である。	あるマグロは哺乳類でない。	どのマグロも哺乳類でない。	すべてのマグロは哺乳類である。	All tuna are fish. No fish is a mammal.	none of them.	A certain tuna is a mammal.	A certain tuna is not a mammal.	No tuna is a mammal.	All tuna are mammals.	4	congruent	AEO	1
53	あるオウムはババロである。  どのババロも鳥でない。	どれでもない。	あるオウムは鳥である。	すべてのオウムは鳥である。	あるオウムは鳥でない。	どのオウムも鳥でない。	There is a parrot that is a babaro.  No babaro is a bird.	none of them.	A certain parrot is a bird.	All parrots are birds.	A certain parrot is not a bird.	No parrot is a bird.	4	incongruent	IEO	1
54	すべてのエグゾセットは魚である。  あるエグゾセットは鳥である。	すべての魚は鳥である。	どれでもない。	ある魚は鳥である。	どの魚も鳥でない。	ある魚は鳥でない。	All exoset are fish.  Some exoset are birds.	All fish are birds.	none of them.	A certain fish is a bird.	No fish is a bird.	A certain fish is not a bird.	3	incongruent	AII	4
55	ある港区民は料理人である。  すべての港区民は東京都民である。	どれでもない。	ある料理人は東京都民でない。	どの料理人も東京都民でない。	すべての料理人は東京都民である。	ある料理人は東京都民である。	There is a cook who is a resident of Minato Ward.  All residents of Minato Ward are residents of Tokyo.	none of them.	A certain chef is not a resident of Tokyo.	No chef is a Tokyo resident.	All chefs are residents of Tokyo.	A certain chef is a resident of Tokyo.	5	congruent	IAI	4
56	すべてのサルはバカルドである。  どの哺乳類もバカルドでない。	すべてのサルは哺乳類である。	あるサルは哺乳類でない。	どのサルも哺乳類でない。	どれでもない。	あるサルは哺乳類である。	All monkeys are bacardi. No mammal is not bacardi.	All monkeys are mammals.	A certain monkey is not a mammal.	No monkey is a mammal.	none of them.	A certain monkey is a mammal.	3	incongruent	AEE	3
57	ある哺乳類は牛である。  どの犬も牛でない。	ある哺乳類は犬でない。	すべての哺乳類は犬である。	どれでもない。	ある哺乳類は犬である。	どの哺乳類も犬でない。	There is a mammal that is a cow. No dog is a cow.	A certain mammal is not a dog.	All mammals are dogs.	none of them.	A certain mammal is a dog.	No mammal is a dog.	1	congruent	IEO	3
58	あるフェリナは針葉樹である。  どの植物もフェリナでない。	どれでもない。	ある針葉樹は植物でない。	どの針葉樹も植物でない。	ある針葉樹は植物である。	すべての針葉樹は植物である。	A felina is a conifer. No plant is a felina.	none of them.	A certain conifer is not a plant.	No conifer is a plant.	A certain conifer is a plant.	All coniferous trees are plants.	2	incongruent	IEO	2
59	どの日本人もポーランド人でない。  あるポーランド人は柔道家である。	どれでもない。	どの柔道家も日本人でない。	ある柔道家は日本人である。	ある柔道家は日本人でない。	すべての柔道家は日本人である。	Not every Japanese person is Polish. There is a Polish person who is a judo athlete.	none of them.	No judoka is not Japanese.	Some judoka is Japanese.	There is a judoka who is not Japanese.	All judo practitioners are Japanese.	4	congruent	EIO	1
60	どのコレイユも両生類でない。  あるコレイユはカエルである。	どのカエルも両生類でない。	あるカエルは両生類でない。	すべてのカエルは両生類である。	どれでもない。	あるカエルは両生類である。	No coreille is an amphibian. One coreille is a frog.	No frog is an amphibian.	A certain frog is not an amphibian.	All frogs are amphibians.	none of them.	A certain frog is an amphibian.	2	incongruent	EIO	4
61	ある哺乳類は牛でない。  すべての哺乳類は動物である。	すべての動物は牛である。	どの動物も牛でない。	どれでもない。	ある動物は牛である。	ある動物は牛でない。	There is a mammal that is not a cow. All mammals are animals.	All animals are cows.	No animal is a cow.	none of them.	There is an animal that is a cow.	There is an animal that is not a cow.	5	congruent	OAO	4
62	どの男性も女性でない。  ある教員は男性である。	どれでもない。	すべての教員は女性である。	ある教員は女性である。	どの教員も女性でない。	ある教員は女性でない。	No man is a woman. One teacher is a man.	none of them.	All teachers are women.	Some teacher is a woman.	No teacher is a woman.	Some teacher is not a woman.	5	congruent	EIO	2
63	どのクマもネコでない。  ある哺乳類はネコである。	すべての哺乳類はクマである。	ある哺乳類はクマでない。	ある哺乳類はクマである。	どの哺乳類もクマでない。	どれでもない。	No bear is a cat.  Some mammals are cats.	All mammals are bears.	A certain mammal is not a bear.	A certain mammal is a bear.	No mammal is a bear.	none of them.	2	congruent	EIO	3
64	あるバラリプトは機械である。  すべてのバラリプトは食べ物である。	すべての機械は食べ物である。	どの機械も食べ物でない。	ある機械は食べ物でない。	どれでもない。	ある機械は食べ物である。	A ballariputo is a machine.  All ballariputo are food.	All machines are food.	No machine is food.	Some machine is not food.	none of them.	A certain machine is food.	5	incongruent	IAI	4
65	あるイヌはダビティシィである。  どの哺乳類もダビティシィでない。	あるイヌは哺乳類でない。	あるイヌは哺乳類である。	どのイヌも哺乳類でない。	どれでもない。	すべてのイヌは哺乳類である。	There is a dog that is a davitishi. No mammal is not a davitishi.	A certain dog is not a mammal.	Some dog is a mammal.	No dog is a mammal.	none of them.	All dogs are mammals.	1	incongruent	IEO	3
66	どの魚もカメーナでない。  あるカメーナは鮭である。	ある鮭は魚である。	どの鮭も魚でない。	すべての鮭は魚である。	ある鮭は魚でない。	どれでもない。	No fish is a camena.  One camena is a salmon.	A salmon is a fish.	No salmon is not a fish.	All salmon are fish.	Some salmon is not a fish.	none of them.	4	incongruent	EIO	3
67	すべてのイヌは哺乳類である。  どのヘビも哺乳類でない。	あるイヌはヘビである。	どれでもない。	どのイヌもヘビでない。	あるイヌはヘビでない。	すべてのイヌはヘビである。	All dogs are mammals.  No snake is a mammal.	A dog is a snake.	none of them.	No dog is a snake.	A certain dog is not a snake.	All dogs are snakes.	3	congruent	AEE	3
68	ある植物は食料である。  どの牛肉も植物でない。	すべての食料は牛肉である。	ある食料は牛肉でない。	ある食料は牛肉である。	どの食料も牛肉でない。	どれでもない。	Some plants are food. No beef is a plant.	All food is beef.	Some food is not beef.	Some food is beef.	No food is beef.	none of them.	2	congruent	IEO	2
69	どの鳥も猫でない。  ある鳥はペットである。	どのペットも猫でない。	あるペットは猫でない。	どれでもない。	すべてのペットは猫である。	あるペットは猫である。	No bird is a cat. Some birds are pets.	No pet is a cat.	A certain pet is not a cat.	none of them.	All pets are cats.	A certain pet is a cat.	2	congruent	EIO	4
70	あるオーブラックは哺乳類でない。  すべてのオーブラックは牛である。	ある牛は哺乳類である。	どの牛も哺乳類でない。	どれでもない。	すべての牛は哺乳類である。	ある牛は哺乳類でない。	oroburack s not a mammal. All oroburack are cows.	A certain cow is a mammal.	No cow is not a mammal.	none of them.	All cows are mammals.	A certain cow is not a mammal.	5	incongruent	OIO	4
71	どのカンペストリも爬虫類でない。  あるヘビはカンペストリである。	あるヘビは爬虫類である。	すべてのヘビは爬虫類である。	どのヘビも爬虫類でない。	どれでもない。	あるヘビは爬虫類でない。	No chameleons are reptiles.  One snake is a chameleon.	A certain snake is a reptile.	All snakes are reptiles.	No snake is a reptile.	none of them.	A certain snake is not a reptile.	5	incongruent	EIO	2
72	どの哺乳類もフェラプトでない。  あるクマはフェラプトである。	すべてのクマは哺乳類である。	あるクマは哺乳類でない。	あるクマは哺乳類である。	どのクマも哺乳類でない。	どれでもない。	No mammal is a ferapto.  One bear is a ferapto.	All bears are mammals.	A certain bear is not a mammal.	A certain bear is a mammal.	No bear is a mammal.	none of them.	2	incongruent	EIO	3
73	すべてのセラレントは鳥である。  ある犬はセラレントである。	どの鳥も犬でない。	すべての鳥は犬である。	ある鳥は犬である。	ある鳥は犬でない。	どれでもない。	All celarent are birds.  A certain dog is a celarent.	No bird is a dog.	All birds are dogs.	A certain bird is a dog.	A certain bird is not a dog.	none of them.	3	incongruent	AII	3
74	どのディマリオもカラスでない。  すべての鳥はディマリオである。	どのカラスも鳥でない。	あるカラスは鳥でない。	すべてのカラスは鳥である。	あるカラスは鳥である。	どれでもない。	No dimario is a crow. All birds are dimario.	Every crow is not a bird.	Some crow is not a bird.	All crows are birds.	A crow is a bird.	none of them.	1	incongruent	EAE	2
75	すべてのインコはトリである。  あるペットはインコである。	すべてのトリはペットである。	あるトリはペットでない。	あるトリはペットである。	どれでもない。	どのトリもペットでない。	All parrots are birds.  A certain pet is a parrot.	All birds are pets.	A certain bird is not a pet.	A certain bird is a pet.	none of them.	No bird is a pet.	3	congruent	AII	2
76	どの哺乳類もカラスでない。  すべての牛は哺乳類である。	どのカラスも牛でない。	あるカラスは牛である。	あるカラスは牛でない。	すべてのカラスは牛である。	どれでもない。	No mammal is a crow. All cows are mammals.	No crow is a cow.	A certain crow is a cow.	A certain crow is not a cow.	All crows are cows.	none of them.	1	congruent	EAE	2
77	すべてのファスペモは犬である。  ある果物はファスペモである。	どれでもない。	ある果物は犬でない。	ある果物は犬である。	どの果物も犬でない。	すべての果物は犬である。	All faspemo are dogs.  Some fruits are faspemo.	none of them.	Some fruits are not dogs.	Some apple is a dog.	No fruit is a dog.	All fruits are dogs.	3	incongruent	AII	2
78	すべての酒は飲料である。  すべてのビールは酒である。	あるビールは飲料でない。	あるビールは飲料である。	どのビールも飲料でない。	どれでもない。	すべてのビールは飲料である。	All alcohol is a beverage. All beer is alcohol.	Some beer is not a beverage.	A certain beer is a beverage.	All beers are not beverages.	none of them.	All beer is a beverage.	5	congruent	AAA	2
